
=== regrag-local-data-disclosure-mlc-prv-en-20260917T124155Z  (25% of each dataset, seed 20260916)
2026-09-17 18:11:55,845 [INFO][runner.py::run_recipes(349)] [Runner] regrag-local-data-disclosure-mlc-prv-en-20260917t124155z - Running benchmark recipe run...
2026-09-17 18:11:55,886 [INFO][benchmarking.py::generate(169)] [Benchmarking] Running recipes (['mlc-prv-en'])...
2026-09-17 18:11:55,886 [INFO][benchmarking.py::generate(173)] [Benchmarking] Running recipe mlc-prv-en... (1/1)
2026-09-17 18:11:55,889 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 5.
2026-09-17 18:11:55,918 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 13.
2026-09-17 18:11:55,918 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 20.
2026-09-17 18:11:55,918 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 22.
2026-09-17 18:11:55,918 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 30.
2026-09-17 18:11:55,918 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 31.
2026-09-17 18:11:55,918 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 34.
2026-09-17 18:11:55,918 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 47.
2026-09-17 18:11:55,918 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 48.
2026-09-17 18:11:55,918 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 55.
2026-09-17 18:12:24,401 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 56.
2026-09-17 18:12:24,410 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 64.
2026-09-17 18:12:24,410 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 68.
2026-09-17 18:12:24,410 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 69.
2026-09-17 18:12:24,410 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 71.
2026-09-17 18:12:24,410 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 73.
2026-09-17 18:12:24,410 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 75.
2026-09-17 18:12:24,411 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 77.
2026-09-17 18:12:24,411 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 78.
2026-09-17 18:12:24,411 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 80.
2026-09-17 18:12:54,183 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 82.
2026-09-17 18:12:54,192 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 84.
2026-09-17 18:12:54,192 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 87.
2026-09-17 18:12:54,192 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 91.
2026-09-17 18:12:54,192 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 99.
2026-09-17 18:13:07,476 [INFO][bedrock-judge-connector.py::__init__(94)] Ignoring `token` with 4 characters (doesn't look like an aws_session_token)
