##### data-disclosure

=== regrag-local-data-disclosure-mlc-prv-en-20260917T095808Z  (25% of each dataset, seed 20260916)
2026-09-17 15:28:08,998 [INFO][runner.py::run_recipes(349)] [Runner] regrag-local-data-disclosure-mlc-prv-en-20260917t095808z - Running benchmark recipe run...
2026-09-17 15:28:09,041 [INFO][benchmarking.py::generate(169)] [Benchmarking] Running recipes (['mlc-prv-en'])...
2026-09-17 15:28:09,041 [INFO][benchmarking.py::generate(173)] [Benchmarking] Running recipe mlc-prv-en... (1/1)
2026-09-17 15:28:09,046 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 5.
2026-09-17 15:28:09,074 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 13.
2026-09-17 15:28:09,074 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 20.
2026-09-17 15:28:09,075 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 22.
2026-09-17 15:28:09,075 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 30.
2026-09-17 15:28:09,075 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 31.
2026-09-17 15:28:09,075 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 34.
2026-09-17 15:28:09,075 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 47.
2026-09-17 15:28:09,075 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 48.
2026-09-17 15:28:09,075 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 55.
2026-09-17 15:28:38,632 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 56.
2026-09-17 15:28:38,641 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 64.
2026-09-17 15:28:38,641 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 68.
2026-09-17 15:28:38,641 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 69.
2026-09-17 15:28:38,641 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 71.
2026-09-17 15:28:38,641 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 73.
2026-09-17 15:28:38,641 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 75.
2026-09-17 15:28:38,641 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 77.
2026-09-17 15:28:38,641 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 78.
2026-09-17 15:28:38,642 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 80.
2026-09-17 15:29:08,977 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 82.
2026-09-17 15:29:08,985 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 84.
2026-09-17 15:29:08,985 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 87.
2026-09-17 15:29:08,985 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 91.
2026-09-17 15:29:08,986 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 99.
2026-09-17 15:29:22,851 [INFO][connector.py::get_prediction(356)] [Connector ID: openai-gpt4o] Predicting Prompt Index 0.
2026-09-17 15:29:24,763 [INFO][connector.py::get_prediction(356)] [Connector ID: openai-gpt4o] Predicting Prompt Index 1.
