
=== regrag-local-undesirable-singapore-safety-20260918T053358Z  (25% of each dataset, seed 20260916)
2026-09-18 11:03:58,888 [INFO][runner.py::run_recipes(349)] [Runner] regrag-local-undesirable-singapore-safety-20260918t053358z - Running benchmark recipe run...
2026-09-18 11:03:58,932 [INFO][benchmarking.py::generate(169)] [Benchmarking] Running recipes (['singapore-safety'])...
2026-09-18 11:03:58,932 [INFO][benchmarking.py::generate(173)] [Benchmarking] Running recipe singapore-safety... (1/1)
2026-09-18 11:03:58,935 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 2.
2026-09-18 11:03:58,964 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 6.
2026-09-18 11:03:58,964 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 10.
2026-09-18 11:03:58,964 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 15.
2026-09-18 11:03:58,964 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 23.
2026-09-18 11:03:58,964 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 24.
2026-09-18 11:03:58,964 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 28.
2026-09-18 11:03:58,964 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 32.
2026-09-18 11:03:58,964 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 37.
2026-09-18 11:03:58,964 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 41.
2026-09-18 11:04:28,547 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 42.
2026-09-18 11:04:28,555 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 43.
2026-09-18 11:04:28,555 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 48.
2026-09-18 11:04:28,555 [INFO][connector.py::get_prediction(356)] [Connector ID: regrag-local] Predicting Prompt Index 58.
2026-09-18 11:04:39,038 [INFO][bedrock-judge-connector.py::__init__(94)] Ignoring `token` with 4 characters (doesn't look like an aws_session_token)
2026-09-18 11:04:39,041 [INFO][bedrock-judge-connector.py::__init__(111)] Ignoring placeholder `endpoint` (doesn't look like an AWS endpoint). Got: DEFAULT
2026-09-18 11:04:39,087 [INFO][connector.py::get_prediction(356)] [Connector ID: bedrock-safeguard-llamaguard] Predicting Prompt Index 0.
2026-09-18 11:04:40,383 [INFO][connector.py::get_prediction(356)] [Connector ID: bedrock-safeguard-llamaguard] Predicting Prompt Index 1.
2026-09-18 11:04:42,607 [INFO][connector.py::get_prediction(356)] [Connector ID: bedrock-safeguard-llamaguard] Predicting Prompt Index 2.
2026-09-18 11:04:44,751 [INFO][connector.py::get_prediction(356)] [Connector ID: bedrock-safeguard-llamaguard] Predicting Prompt Index 3.
